27.05.2015 16:31:18.36848 (2.1756951)Log "RobloxStudio"
16:31:18.36848 (2.1756951)          CrashReporter Start
18:54:36.49632 (8600.2140217)          			Marshaller
18:54:36.49632 (8600.2140217)          			ProfilingSection
18:54:36.49632 (8600.2150215)          			BindToWorkspace
18:54:36.49632 (8600.3580304)          			RenderRequestJob
18:54:36.49632 (8600.3580304)          			RenderJob
18:54:36.49632 (8600.3580304)          			WrapMouseJob
18:54:36.49632 (8600.3580304)          			ConfigureStats
18:54:36.49632 (8600.3580304)          		RobloxView::RobloxView - end
18:54:51.64632 (8614.4551777)          		RobloxView::RobloxView - start
18:54:51.64632 (8614.4551777)          			UserInput
18:54:51.64632 (8614.5611950)          			Marshaller
18:54:51.64632 (8614.5611950)          			ProfilingSection
18:54:51.64632 (8614.5611950)          			BindToWorkspace
18:54:51.64632 (8614.6871732)          			RenderRequestJob
18:54:51.64632 (8614.6871732)          			RenderJob
18:54:51.64632 (8614.6871732)          			WrapMouseJob
18:54:51.64632 (8614.6871732)          			ConfigureStats
18:54:51.64632 (8614.6871732)          		RobloxView::RobloxView - end
18:57:31.28024 (8775.0751175)          Auto-Saving...
19:02:32.1344 (9075.9407842)          Auto-Saving...
19:07:31.38200 (9375.2379854)          Auto-Saving...
19:12:31.10520 (9675.3181526)          Auto-Saving...
19:17:31.48376 (9975.2698044)          Auto-Saving...
19:19:05.11304 (10069.2384590)          Auto-Saving...
19:19:06.12304 (10070.2655378)          		RobloxView::RobloxView - start
19:19:06.12304 (10070.2655378)          			UserInput
19:19:07.13304 (10070.4835480)          			Marshaller
19:19:07.13304 (10070.4835480)          			ProfilingSection
19:19:07.13304 (10070.4835480)          			BindToWorkspace
19:19:07.13304 (10070.6325567)          			RenderRequestJob
19:19:07.13304 (10070.6325567)          			RenderJob
19:19:07.13304 (10070.6325567)          			WrapMouseJob
19:19:07.13304 (10070.6325567)          			ConfigureStats
19:19:07.13304 (10070.6325567)          		RobloxView::RobloxView - end
19:19:25.31304 (10089.3146915)          		RobloxView::RobloxView - start
19:19:25.31304 (10089.3146915)          			UserInput
19:19:26.32304 (10089.3917002)          			Marshaller
