27.05.2015 08:03:37.50088 (3.3322117)Log "RobloxStudio"
09:47:32.59168 (6237.9456235)          			Marshaller
09:47:32.59168 (6237.9456235)          			ProfilingSection
09:47:32.59168 (6237.9456235)          			BindToWorkspace
09:47:32.59168 (6238.0925004)          			RenderRequestJob
09:47:32.59168 (6238.0925004)          			RenderJob
09:47:32.59168 (6238.0925004)          			WrapMouseJob
09:47:32.59168 (6238.0925004)          			ConfigureStats
09:47:32.59168 (6238.0934996)          		RobloxView::RobloxView - end
09:47:47.8632 (6253.0271467)          Auto-Saving...
09:48:11.32632 (6276.8710568)          Auto-Saving...
09:48:12.33632 (6277.5281012)          		RobloxView::RobloxView - start
09:48:12.33632 (6277.5281012)          			UserInput
09:48:12.33632 (6277.5971044)          			Marshaller
09:48:12.33632 (6277.5971044)          			ProfilingSection
09:48:12.33632 (6277.5981044)          			BindToWorkspace
09:48:12.33632 (6277.7491431)          			RenderRequestJob
09:48:12.33632 (6277.7491431)          			RenderJob
09:48:12.33632 (6277.7491431)          			WrapMouseJob
09:48:12.33632 (6277.7491431)          			ConfigureStats
09:48:12.33632 (6277.7491431)          		RobloxView::RobloxView - end
09:48:17.38632 (6282.5848955)          		RobloxView::RobloxView - start
09:48:17.38632 (6282.5848955)          			UserInput
09:48:17.38632 (6282.6899033)          			Marshaller
09:48:17.38632 (6282.6909034)          			ProfilingSection
09:48:17.38632 (6282.6909034)          			BindToWorkspace
09:48:17.38632 (6282.8369084)          			RenderRequestJob
09:48:17.38632 (6282.8369084)          			RenderJob
09:48:17.38632 (6282.8369084)          			WrapMouseJob
09:48:17.38632 (6282.8369084)          			ConfigureStats
09:48:17.38632 (6282.8379085)          		RobloxView::RobloxView - end
09:48:28.49632 (6293.4821954)          Auto-Saving...
09:48:29.50632 (6294.6402098)          		RobloxView::RobloxView - start
09:48:29.50632 (6294.6402098)          			UserInput
09:48:29.50632 (6294.7822308)          			Marshaller
09:48:29.50632 (6294.7822308)          			ProfilingSection
09:48:29.50632 (6294.7822308)          			BindToWorkspace
09:48:29.50632 (6294.9772435)          			RenderRequestJob
09:48:29.50632 (6294.9772435)          			RenderJob
09:48:29.50632 (6294.9772435)          			WrapMouseJob
09:48:29.50632 (6294.9772435)          			ConfigureStats
09:48:29.50632 (6294.9772435)          		RobloxView::RobloxView - end
09:48:38.59632 (6303.5089762)          		RobloxView::RobloxView - start
09:48:38.59632 (6303.5089762)          			UserInput
09:48:38.59632 (6303.6170438)          			Marshaller
09:48:38.59632 (6303.6170438)          			ProfilingSection
09:48:38.59632 (6303.6170438)          			BindToWorkspace
09:48:38.59632 (6303.7540026)          			RenderRequestJob
09:48:38.59632 (6303.7540026)          			RenderJob
09:48:38.59632 (6303.7540026)          			WrapMouseJob
09:48:38.59632 (6303.7540026)          			ConfigureStats
09:48:38.59632 (6303.7540026)          		RobloxView::RobloxView - end
09:48:53.9096 (6319.3164321)          Auto-Saving...
09:48:54.10096 (6319.9630957)          		RobloxView::RobloxView - start
09:48:54.10096 (6319.9630957)          			UserInput
09:48:54.10096 (6320.0772845)          			Marshaller
09:48:54.10096 (6320.0772845)          			ProfilingSection
09:48:54.10096 (6320.0772845)          			BindToWorkspace
09:48:54.10096 (6320.3002976)          			RenderRequestJob
09:48:54.10096 (6320.3002976)          			RenderJob
09:48:54.10096 (6320.3002976)          			WrapMouseJob
09:48:54.10096 (6320.3002976)          			ConfigureStats
09:48:54.10096 (6320.3002976)          		RobloxView::RobloxView - end
09:49:01.17096 (6327.0287416)          		RobloxView::RobloxView - start
09:49:01.17096 (6327.0297395)          			UserInput
09:49:01.17096 (6327.1207880)          			Marshaller
09:49:01.17096 (6327.1207880)          			ProfilingSection
09:49:01.17096 (6327.1207880)          			BindToWorkspace
09:49:01.17096 (6327.2767038)          			RenderRequestJob
09:49:01.17096 (6327.2777003)          			RenderJob
09:49:01.17096 (6327.2777003)          			WrapMouseJob
09:49:01.17096 (6327.2777003)          			ConfigureStats
09:49:01.17096 (6327.2777003)          		RobloxView::RobloxView - end
09:49:26.42096 (6351.4728186)          Auto-Saving...
09:49:26.42096 (6352.1548599)          		RobloxView::RobloxView - start
09:49:26.42096 (6352.1548599)          			UserInput
09:49:26.42096 (6352.2338802)          			Marshaller
09:49:26.42096 (6352.2338802)          			ProfilingSection
09:49:26.42096 (6352.2338802)          			BindToWorkspace
09:49:27.43096 (6352.4777806)          			RenderRequestJob
09:49:27.43096 (6352.4777806)          			RenderJob
09:49:27.43096 (6352.4777806)          			WrapMouseJob
09:49:27.43096 (6352.4777806)          			ConfigureStats
09:49:27.43096 (6352.4787804)          		RobloxView::RobloxView - end
09:49:37.53096 (6363.4462973)          		RobloxView::RobloxView - start
09:49:37.53096 (6363.4472908)          			UserInput
09:49:38.54096 (6363.5318879)          			Marshaller
09:49:38.54096 (6363.5318879)          			ProfilingSection
09:49:38.54096 (6363.5318879)          			BindToWorkspace
09:49:38.54096 (6363.6731706)          			RenderRequestJob
09:49:38.54096 (6363.6731706)          			RenderJob
09:49:38.54096 (6363.6731706)          			WrapMouseJob
09:49:38.54096 (6363.6731706)          			ConfigureStats
09:49:38.54096 (6363.6731706)          		RobloxView::RobloxView - end
09:50:05.15560 (6390.6570346)          Auto-Saving...
09:50:05.15560 (6391.2328920)          		RobloxView::RobloxView - start
09:50:05.15560 (6391.2338984)          			UserInput
09:50:05.15560 (6391.3174373)          			Marshaller
09:50:05.15560 (6391.3174373)          			ProfilingSection
09:50:05.15560 (6391.3174373)          			BindToWorkspace
09:50:06.16560 (6391.4780972)          			RenderRequestJob
09:50:06.16560 (6391.4780972)          			RenderJob
09:50:06.16560 (6391.4780972)          			WrapMouseJob
09:50:06.16560 (6391.4780972)          			ConfigureStats
09:50:06.16560 (6391.4780972)          		RobloxView::RobloxView - end
09:50:13.23560 (6398.6569031)          		RobloxView::RobloxView - start
09:50:13.23560 (6398.6579032)          			UserInput
09:50:13.23560 (6398.7488095)          			Marshaller
09:50:13.23560 (6398.7488095)          			ProfilingSection
09:50:13.23560 (6398.7498088)          			BindToWorkspace
09:50:13.23560 (6398.8869614)          			RenderRequestJob
09:50:13.23560 (6398.8869614)          			RenderJob
09:50:13.23560 (6398.8869614)          			WrapMouseJob
09:50:13.23560 (6398.8869614)          			ConfigureStats
09:50:13.23560 (6398.8869614)          		RobloxView::RobloxView - end
09:52:47.46488 (6553.0795685)          Auto-Saving...
09:57:47.18808 (6853.1275146)          Auto-Saving...
10:01:19.34200 (7064.7434020)          Auto-Saving...
10:01:20.35200 (7065.5596861)          		RobloxView::RobloxView - start
10:01:20.35200 (7065.5596861)          			UserInput
10:01:20.35200 (7065.6676984)          			Marshaller
10:01:20.35200 (7065.6676984)          			ProfilingSection
10:01:20.35200 (7065.6676984)          			BindToWorkspace
10:01:20.35200 (7065.8247061)          			RenderRequestJob
10:01:20.35200 (7065.8247061)          			RenderJob
10:01:20.35200 (7065.8257061)          			WrapMouseJob
10:01:20.35200 (7065.8257061)          			ConfigureStats
10:01:20.35200 (7065.8257061)          		RobloxView::RobloxView - end
10:01:25.40200 (7070.7305133)          		RobloxView::RobloxView - start
10:01:25.40200 (7070.7315134)          			UserInput
10:01:25.40200 (7070.8080940)          			Marshaller
10:01:25.40200 (7070.8080940)          			ProfilingSection
10:01:25.40200 (7070.8080940)          			BindToWorkspace
10:01:25.40200 (7070.9403082)          			RenderRequestJob
10:01:25.40200 (7070.9403082)          			RenderJob
10:01:25.40200 (7070.9403082)          			WrapMouseJob
10:01:25.40200 (7070.9403082)          			ConfigureStats
10:01:25.40200 (7070.9403082)          		RobloxView::RobloxView - end
10:02:05.14664 (7110.9899459)          Auto-Saving...
10:02:06.15664 (7111.5124736)          		RobloxView::RobloxView - start
10:02:06.15664 (7111.5124736)          			UserInput
10:02:06.15664 (7111.5904815)          			Marshaller
10:02:06.15664 (7111.5904815)          			ProfilingSection
10:02:06.15664 (7111.5914816)          			BindToWorkspace
10:02:06.15664 (7111.7382729)          			RenderRequestJob
